task_id	hash	name	process	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rss	vmem	rchar	wchar
42	e1/393b59	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process (cellxgene_census/dkd/log_cp10k.logistic_regression)	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process	cellxgene_census/dkd/log_cp10k.logistic_regression	COMPLETED	0	1	3.3s	3.7s	1654.6%	1.5 GB	4.1 GB	1.5 GB	4.1 GB	1.3 GB	168.5 KB
18	63/1a7755	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process (cellxgene_census/dkd/log_cp10k.naive_bayes)	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process	cellxgene_census/dkd/log_cp10k.naive_bayes	COMPLETED	0	1	1.9s	2.3s	460.0%	161 MB	2.7 GB	161 MB	2.7 GB	1.3 GB	167.8 KB
51	95/6df2d9	auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process (cellxgene_census/dkd/log_cp10k.xgboost)	auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process	cellxgene_census/dkd/log_cp10k.xgboost	COMPLETED	0	1	1m 31s	1m 31s	2113.3%	13.3 GB	17.6 GB	13.3 GB	17.6 GB	1.3 GB	168.9 KB
65	56/632f48	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process (cellxgene_census/dkd/log_cp10k.mlp)	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process	cellxgene_census/dkd/log_cp10k.mlp	COMPLETED	0	1	12.4s	12.8s	604.8%	1.5 GB	4.1 GB	1.5 GB	4.1 GB	1.3 GB	168.1 KB
61	3c/570d70	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process (cellxgene_census/gtex_v9/log_cp10k.mlp)	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process	cellxgene_census/gtex_v9/log_cp10k.mlp	COMPLETED	0	1	3m 54s	3m 54s	598.1%	3.2 GB	5.8 GB	3.1 GB	5.8 GB	2.9 GB	326.1 KB
64	af/6cb68b	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process (cellxgene_census/tabula_sapiens/log_cp10k.mlp)	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process	cellxgene_census/tabula_sapiens/log_cp10k.mlp	COMPLETED	0	1	10m 22s	10m 23s	1183.1%	19.9 GB	22.5 GB	19.4 GB	22 GB	19 GB	37.2 KB
70	ae/ed960d	auto:run_benchmark:run_wf:runEachWf:accuracy:processWf:accuracy_process (cellxgene_census/immune_cell_atlas/log_cp10k.random_labels.accuracy)	auto:run_benchmark:run_wf:runEachWf:accuracy:processWf:accuracy_process	cellxgene_census/immune_cell_atlas/log_cp10k.random_labels.accuracy	COMPLETED	0	1	2s	2.3s	423.6%	159.7 MB	2.7 GB	159.7 MB	2.7 GB	149.6 MB	21.4 KB
68	e8/7261cb	auto:run_benchmark:run_wf:runEachWf:accuracy:processWf:accuracy_process (cellxgene_census/dkd/log_cp10k.random_labels.accuracy)	auto:run_benchmark:run_wf:runEachWf:accuracy:processWf:accuracy_process	cellxgene_census/dkd/log_cp10k.random_labels.accuracy	COMPLETED	0	1	2.3s	2.6s	365.9%	338 MB	2.9 GB	338 MB	2.9 GB	183.7 MB	21.3 KB
67	9f/ac72f7	auto:run_benchmark:run_wf:runEachWf:accuracy:processWf:accuracy_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.naive_bayes.accuracy)	auto:run_benchmark:run_wf:runEachWf:accuracy:processWf:accuracy_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.naive_bayes.accuracy	COMPLETED	0	1	3.8s	4.2s	225.2%	570.4 MB	3.2 GB	570.4 MB	3.2 GB	463.8 MB	21.3 KB
80	f6/515c4b	auto:run_benchmark:run_wf:runEachWf:f1:processWf:f1_process (cellxgene_census/immune_cell_atlas/log_cp10k.logistic_regression.f1)	auto:run_benchmark:run_wf:runEachWf:f1:processWf:f1_process	cellxgene_census/immune_cell_atlas/log_cp10k.logistic_regression.f1	COMPLETED	0	1	1.4s	1.7s	604.0%	164.7 MB	2.8 GB	164.7 MB	2.8 GB	150.3 MB	25.9 KB
