dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
liver_intra,2,actinn-jax,classical,cpu,4068,1332,9.344397542066872,0.1395908329868689,1519.157248,1332,0.0,0.8018018018018018,0.7975949786156259,0.7961389961389962,0.8460960960960962
liver_intra,0,svm,classical,cpu,4068,1332,6.290649708011188,0.036561332992278,1056.129024,1332,0.0,0.7477477477477478,0.750884129996022,0.7405405405405405,0.8085585585585585
liver_intra,1,svm,classical,cpu,4068,1332,6.420849249931052,0.0398107500514015,1056.980992,1332,0.0,0.7522522522522522,0.7538479338450469,0.7451737451737452,0.8055555555555556
liver_intra,2,svm,classical,cpu,4068,1332,6.414672916987911,0.0361597921000793,1057.652736,1332,0.0,0.740990990990991,0.742654898871983,0.7335907335907336,0.801051051051051
liver_intra,0,knn,classical,cpu,4068,1332,1.7135463749291375,0.0721750420052558,1112.784896,1332,0.0,0.6584084084084084,0.6509396128955401,0.6486486486486487,0.7342342342342343
liver_intra,1,knn,classical,cpu,4068,1332,1.707725040963851,0.0717447079950943,1111.965696,1332,0.0,0.6554054054054054,0.6475253946993271,0.6455598455598456,0.7312312312312312
liver_intra,2,knn,classical,cpu,4068,1332,1.6726463329978287,0.0702743330039084,1112.4736,1332,0.0,0.6591591591591591,0.6517929140580976,0.6494208494208494,0.7357357357357357
liver_intra,0,celltypist,classical,cpu,4068,1332,7.280501167057082,0.5634478750871494,1211.039744,1332,0.0,0.7882882882882883,0.7903073389039448,0.7822393822393823,0.8363363363363363
liver_intra,1,celltypist,classical,cpu,4068,1332,7.916832959046587,0.5346932910615578,1210.662912,1332,0.0,0.7912912912912913,0.7935601121533504,0.7853281853281853,0.8385885885885885
liver_intra,2,celltypist,classical,cpu,4068,1332,7.534795166924596,0.5435157920001075,1211.809792,1332,0.0,0.7905405405405406,0.7932057324985079,0.7845559845559845,0.8385885885885885
liver_intra,0,singler,classical,cpu,4068,1332,0.1493273330852389,10.768950499943458,2737.618944,1332,0.0,0.704954954954955,0.7017228446940056,0.6965250965250965,0.7732732732732732
