dataset,method,repeat,accuracy,macro_f1,ontology_concordance,fit_s,predict_s,peak_mem_mb
blood_gut_intra,scmap-cluster,2,0.7229808817791651,0.7255456759091035,,0.4058522909181192,10.644364124978893,11788.877824
blood_gut_intra,scanvi,0,0.8821693328131096,0.8824026762661086,,0.0082202909979969,68.71782337501645,2356.887552
blood_gut_intra,scanvi,1,0.8813889972688256,0.8819220881663927,,0.0065318749984726,77.81840045796707,2356.297728
blood_gut_intra,scanvi,2,0.8751463129145532,0.8758361911459265,,0.0080715829972177,74.74712183396332,2351.333376
blood_gut_intra,scarches,0,0.8728053062817012,0.8739500350688187,,55.925133624929,11.672903082915582,1821.868032
blood_gut_intra,scarches,1,0.8755364806866953,0.8765893480272703,,46.704794791992754,10.170849208021536,1820.09856
blood_gut_intra,scarches,2,0.8673429574717129,0.8678657475422614,,43.68045491608791,10.239595792023463,1820.360704
lung_intra,actinn-jax,0,0.8938381588715665,0.9011671173938276,0.9172234595397178,15.307229958940296,0.2030459159286692,1982.611456
lung_intra,actinn-jax,1,0.8938381588715665,0.9011671173938276,0.9172234595397178,14.90639829193242,0.1970901659224182,1995.89888
lung_intra,actinn-jax,2,0.8938381588715665,0.9011671173938276,0.9172234595397178,14.929459957988,0.197350375005044,1992.507392
lung_intra,svm,0,0.8956941351150706,0.9034517456601796,0.925389755011136,12.811159082921222,0.0529858330264687,1554.661376
lung_intra,svm,1,0.8960653303637713,0.9039929002282266,0.925389755011136,12.87097420799546,0.0555582499364391,1554.087936
lung_intra,svm,2,0.894580549368968,0.902592835531972,0.9246473645137342,14.382241624989549,0.0537712080404162,1554.235392
lung_intra,knn,0,0.8949517446176689,0.8927198838402102,0.9313288789903488,1.7885786249535158,0.1328152091009542,1682.784256
lung_intra,knn,1,0.8964365256124721,0.8933523598629532,0.9328136599851522,1.7727780840359628,0.1512289999518543,1682.767872
lung_intra,knn,2,0.8938381588715665,0.8918855469618003,0.9305864884929472,1.7985042079817504,0.1312222919659689,1682.505728
lung_intra,celltypist,0,0.9012620638455828,0.9048568089957436,0.9261321455085376,16.63545758300461,0.4506630420219153,1702.62528
lung_intra,celltypist,1,0.8986636971046771,0.904582600986151,0.9224201930215292,16.223130958969705,0.4682474589208141,1702.346752
lung_intra,celltypist,2,0.8982925018559762,0.9005497996954277,0.9250185597624352,17.246394291054457,0.4452321670250967,1702.985728
lung_intra,actinn-orig,0,0.9042316258351892,0.9063821481052836,0.9242761692650334,0.0693122500088065,47.130834290990606,6790.67648
lung_intra,actinn-orig,1,0.9001484780994803,0.9077044076335204,0.9250185597624352,0.0521907920483499,54.092725833994336,6886.621184
lung_intra,actinn-orig,2,0.90460282108389,0.9063532314435486,0.930957683741648,0.081432707956992,55.06653883296531,6865.87904
lung_intra,singler,0,0.8760207869339273,0.8778758049555005,0.9179658500371196,0.24087633297313,25.24816883308813,3599.106048
lung_intra,singler,1,0.8760207869339273,0.8778758049555005,0.9179658500371196,0.2400099999504164,25.12715225003194,3565.879296
lung_intra,singler,2,0.8760207869339273,0.8778758049555005,0.9179658500371196,0.2313338340027257,24.967929333099164,3726.29504
lung_intra,scmap-cluster,0,0.8433556050482554,0.8323194734252137,0.908816880180859,0.2463429999770596,9.494081291020848,7593.476096
lung_intra,scmap-cluster,1,0.8433556050482554,0.8323194734252137,0.908816880180859,0.2691911249421537,8.963073165970854,8837.398528
lung_intra,scmap-cluster,2,0.8433556050482554,0.8323194734252137,0.908816880180859,0.2511099999537691,8.8432278749533,8778.940416
lung_intra,scanvi,0,0.9116555308092056,0.9188839245928668,0.9294729027468448,0.0088915419764816,90.22525133297312,2120.925184
lung_intra,scanvi,1,0.910913140311804,0.9209270160134848,0.9305864884929472,0.0082238749600946,89.31471137504559,1778.31936
lung_intra,scanvi,2,0.9172234595397178,0.9217189527094958,0.9346696362286564,0.0078947079600766,92.97803958307486,1872.52736
lung_intra,scarches,0,0.9086859688195992,0.9166444407250788,0.9302152932442465,71.93336854199879,18.302696874947287,1915.273216
lung_intra,scarches,1,0.9123979213066072,0.9209986347889288,0.9365256124721604,75.78051370801404,17.58813112496864,1628.700672
lung_intra,scarches,2,0.9101707498144024,0.9167387023968558,0.9342984409799554,70.29804108396638,16.909092582995072,1757.364224
lung_cross,actinn-jax,0,0.3580811808118081,0.1757045235677418,0.7486346863468635,35.382536333054304,1.1095891249133274,3634.806784
lung_cross,actinn-jax,1,0.3580811808118081,0.1757045235677418,0.7486346863468635,33.6473518749699,1.0252052081050351,3993.76384
lung_cross,actinn-jax,2,0.3580811808118081,0.1757045235677418,0.7486346863468635,37.37560837494675,1.811597708030604,4200.0384
lung_cross,svm,0,0.3521033210332103,0.175344580138557,0.7473062730627307,46.92255200003274,0.292860583984293,2636.644352
lung_cross,svm,1,0.3521033210332103,0.1759801519245387,0.7480442804428045,174.531353832921,0.4183536249911412,2626.420736
lung_cross,svm,2,0.3513653136531365,0.176081465480065,0.7461254612546125,66.22080233402085,0.3552217920077964,2627.059712
lung_cross,knn,0,0.3487822878228782,0.1716223851145098,0.7450922509225092,4.77620358299464,1.1049950839951634,2660.089856
lung_cross,knn,1,0.3490774907749077,0.1724380844661769,0.7451660516605166,4.798381959088147,0.8709855830529705,2644.230144
